OTU.ID,MO100E,MO100S,MO87E,MO87S,MO98E,MO98S,MO99E,MO99S,Taxonomy,taxon,guid,mbNumber,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource
ASV1012,0,0,0,0,0,0,92,0,Fungi;Basidiomycota;Basidiomycota_unclassified;Basidiomycota_unclassified;Basidiomycota_unclassified;Basidiomycota_unclassified;Basidiomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1013,0,0,0,0,0,0,92,0,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium;Metarhizium_carneum;,Clavicipitaceae,E3347AFD-FD7B-4351-B2B0-1A826A472A17,80608,9,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Fungal Parasite-Insect Parasite,Possible,Microfungus,NULL,"Parasitic, endophytic or epiphytic on Insecta, other fungi or Gamineae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1017,0,0,0,91,0,0,0,0,Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Cladorrhinum;Cladorrhinum_flexuosum;,Lasiosphaeriaceae,1CB1CD4A-36B9-11D5-9548-00D0592D548C,80930,9,Saprotroph,Undefined Saprotroph,Probable,Microfungus,NULL,"Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1018,0,0,0,0,91,0,0,0,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Xenasmataceae;Xenasmatella;Xenasmatella_ardosiaca;,Xenasmatella,1CB1CC85-36B9-11D5-9548-00D0592D548C,18756,13,Saprotroph,Undefined Saprotroph,Probable,NULL,White Rot,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
ASV1019,0,0,0,0,0,91,0,0,Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiales_unclassified;Capnodiales_unclassified;Capnodiales_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV102,812,0,294,0,0,0,82,0,Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces_sp;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1020,0,0,0,0,0,58,0,33,Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylariaceae_unclassified;Xylariaceae_unclassified;,Xylariaceae,1CB1ABFB-36B9-11D5-9548-00D0592D548C,81528,9,Pathotroph-Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,Xylarioid,NULL,"Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1021,0,0,0,0,0,5,0,86,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Sarocladium;Sarocladium_kiliense;,Sarocladium kiliense,9A103E98-FEB0-4346-A6FB-DF33E2FC3A39,519592,20,Pathotroph,Animal Pathogen,Probable,NULL,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))"
ASV1023,90,0,0,0,0,0,0,0,Fungi;Basidiomycota;Basidiomycota_unclassified;Basidiomycota_unclassified;Basidiomycota_unclassified;Basidiomycota_unclassified;Basidiomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1025,90,0,0,0,0,0,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1028,0,0,90,0,0,0,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1029,0,0,0,90,0,0,0,0,Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia;Tilletia_barclayana;,Tilletiaceae,1CB1CDEA-36B9-11D5-9548-00D0592D548C,81912,9,Pathotroph,Plant Pathogen,Probable,Smut,NULL,"Biotrophic in ovaries, more rarely leaf and stem tissue, of grasses. Erratomyces occurs on legumes and appears to be a basal representative of the family (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV103,1132,0,0,0,0,0,56,0,Fungi;Ascomycota;Sordariomycetes;Diaporthales;Schizoparmaceae;Coniella;Coniella_eucalyptigena;,Coniella,1CB18470-36B9-11D5-9548-00D0592D548C,7753,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV1033,83,6,0,0,0,0,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1035,8,0,81,0,0,0,0,0,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;Entoloma_kauffmanii;,Entolomataceae,1CB1895F-36B9-11D5-9548-00D0592D548C,81675,9,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph,Possible,Agaricoid,NULL,"Saprobic or ectomycorrhizal, in both broadleaved and coniferous forests; a few species associated with other substrata such as dung and mosses (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf))"
ASV1037,0,89,0,0,0,0,0,0,Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_sp;,Mortierellaceae,3BD31551-4295-4664-858B-8E44073A293E,816415,9,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Possible,Microfungus,NULL,Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
ASV1038,0,89,0,0,0,0,0,0,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Clonostachys;Clonostachys_divergens;,Bionectriaceae,1CB1CCCB-36B9-11D5-9548-00D0592D548C,82088,9,Pathotroph-Saprotroph,Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,Probable,Microfungus,NULL,"Associated with plant material, especially on wood and herbaceous debris, or with algae, bryophyte or other fungi, rarely pathogenic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1039,0,6,0,25,0,19,0,39,Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;Cystofilobasidium_macerans;,Cystofilobasidium,E5E8D0C9-E6D4-4047-A234-7168451EFFA5,25635,13,Saprotroph,Leaf Saprotroph,Possible,Yeast,NULL,NULL,"Oberwinkler F, et al. 1983. Systematic and Applied Microbiology 41:14-122 ((https://doi.org/10.1016/S0723-2020((83))80039-3))"
ASV104,15,1102,0,0,0,0,69,0,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusicolla;Fusicolla_unclassified;,Nectriaceae,1CB1CD7A-36B9-11D5-9548-00D0592D548C,81059,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,Microfungus,NULL,Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))"
ASV1040,0,0,89,0,0,0,0,0,Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Meliniomyces;Meliniomyces_sp;,Helotiaceae,1CB18C9C-36B9-11D5-9548-00D0592D548C,80845,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Probable,Microfungus,NULL,"Usually saprobic on herbaceous or woody tissues, some species fungicolous. A few species are known to form mycorrhizae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1041,0,0,89,0,0,0,0,0,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_unclassified;Pleosporales_unclassified;Pleosporales_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1042,0,0,79,10,0,0,0,0,Fungi;Ascomycota;Laboulbeniomycetes;Pyxidiophorales;unidentified;unidentified;Pyxidiophorales_sp;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1043,0,0,0,89,0,0,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1044,0,0,0,64,0,25,0,0,Fungi;Basidiomycota;Exobasidiomycetes;Golubeviales;Golubeviaceae;Golubevia;Golubevia_pallescens;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1045,0,0,0,0,0,89,0,0,Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zasmidium;Zasmidium_unclassified;,Mycosphaerellaceae,1CB1CD75-36B9-11D5-9548-00D0592D548C,81043,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,Microfungus,NULL,"Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1046,51,0,0,37,0,0,0,0,Fungi;Basidiomycota;Pucciniomycetes;Septobasidiales;Septobasidiaceae;unidentified;Septobasidiaceae_sp;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1047,46,0,0,42,0,0,0,0,Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae;Gorgomyces;Gorgomyces_hungaricus;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1048,23,0,65,0,0,0,0,0,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium_scabrosum;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1049,30,0,58,0,0,0,0,0,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria;Neonectria_unclassified;,Nectriaceae,1CB1CD7A-36B9-11D5-9548-00D0592D548C,81059,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,Microfungus,NULL,Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))"
ASV105,448,0,436,86,0,17,194,0,Fungi;Ascomycota;Lecanoromycetes;Lecanoromycetes_unclassified;Lecanoromycetes_unclassified;Lecanoromycetes_unclassified;Lecanoromycetes_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1050,0,0,88,0,0,0,0,0,Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_unclassified;Dothideomycetes_unclassified;Dothideomycetes_unclassified;Dothideomycetes_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1051,0,0,0,0,76,7,0,5,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1053,0,0,0,0,0,88,0,0,Fungi;Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Ramicandelaber;Ramicandelaber_sp;,Ramicandelaber,CE97F1AF-A162-4A78-B4EA-64943ABA8370,28497,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
ASV1057,0,0,87,0,0,0,0,0,Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Trichosporon_unclassified;,Trichosporon,1CB1CC33-36B9-11D5-9548-00D0592D548C,10296,13,Pathotroph,Animal Pathogen,Probable,NULL,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); https://www.cdc.gov ((https://www.cdc.gov))"
ASV1059,0,0,0,0,0,87,0,0,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_unclassified;Tremellales_unclassified;Tremellales_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV106,55,124,456,149,17,0,324,49,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia_arunalokei;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1060,0,0,0,0,0,87,0,0,Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_unclassified;Sordariomycetes_unclassified;Sordariomycetes_unclassified;Sordariomycetes_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1061,37,0,0,23,0,26,0,0,Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Teratosphaeriaceae_unclassified;Teratosphaeriaceae_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1062,0,86,0,0,0,0,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1063,0,86,0,0,0,0,0,0,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Boeremia;Boeremia_exigua;,Didymellaceae,F971F4FB-F68A-481E-B5F1-2BF2B753AA5D,508292,9,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
ASV1064,0,0,86,0,0,0,0,0,Fungi;Ascomycota;Sordariomycetes;Trichosphaeriales;Trichosphaeriaceae;Nigrospora;Nigrospora_oryzae;,Nigrospora oryzae,1CB1B51D-36B9-11D5-9548-00D0592D548C,253729,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,NULL,NULL,Host - broad host range,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))"
ASV1065,0,0,86,0,0,0,0,0,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Ceratobasidium;Ceratobasidium_sp;,Ceratobasidiaceae,1CB1CCDC-36B9-11D5-9548-00D0592D548C,80572,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL,"Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1066,0,0,0,86,0,0,0,0,Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_unclassified;Helotiales_unclassified;Helotiales_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1067,0,0,0,0,0,86,0,0,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum_lupini;,Glomerellaceae,AB0867BB-F14D-4E04-9D64-56A135F63096,504454,9,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,Microfungus,NULL,"Species are hemibiotic, with an initial endophytic (symptomless) phase that leads to a necrotic phase were significant damage may be caused to the host (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1069,80,5,0,0,0,0,0,0,Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita;Serendipita_sp;,Serendipita,9597D21B-8566-4B87-B888-F7D578F17392,22442,13,Symbiotroph,Orchid Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); Weiß M, et al. 2016. New Phytologist 211:20-40 ((https://doi.org/10.1111/nph.13977))"
ASV107,186,736,147,87,16,0,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1070,12,0,0,71,0,2,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1071,0,85,0,0,0,0,0,0,Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;Powellomycetaceae;Powellomyces;Powellomyces_sp;,Powellomyces,4E5EBAEB-AB0E-43E5-B41C-20F1DE51A60B,27628,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
ASV1072,0,47,0,0,0,0,38,0,Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Naganishia_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1073,0,0,0,78,0,0,0,7,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Acremonium;Acremonium_unclassified;,Acremonium,1CB17C40-36B9-11D5-9548-00D0592D548C,7028,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Endophyte detection method-culture (Hanada et al. 2010, Del Olmo-Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008))"
ASV1075,0,0,0,0,0,0,85,0,Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_unclassified;Agaricomycetes_unclassified;Agaricomycetes_unclassified;Agaricomycetes_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1078,0,0,0,35,0,0,49,0,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Gibberella;Gibberella_intricans;,Nectriaceae,1CB1CD7A-36B9-11D5-9548-00D0592D548C,81059,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,Microfungus,NULL,Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))"
ASV108,80,59,329,322,185,197,0,0,Fungi;Ascomycota;Sordariomycetes;Xylariales;Sporocadaceae;Sporocadaceae_unclassified;Sporocadaceae_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1080,0,0,0,0,0,0,0,84,Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Hypoxylon;Hypoxylon_munkii;,Xylariaceae,1CB1ABFB-36B9-11D5-9548-00D0592D548C,81528,9,Pathotroph-Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,Xylarioid,NULL,"Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
ASV1081,0,0,0,0,0,0,0,84,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;unidentified;unidentified;Chaetothyriales_sp;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1082,26,0,0,0,0,0,57,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1083,24,0,0,0,0,0,59,0,Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_unclassified;Sordariomycetes_unclassified;Sordariomycetes_unclassified;Sordariomycetes_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
